Serial_number:
2036854
Project ID:
Shullcas
Location:
HuacracochaLk
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/03/07,12:30:00,0,59.8334,16.836
2017/03/07,12:45:00,0,59.7763,10.955
2017/03/07,13:00:00,0,59.7452,9.582
2017/03/07,13:15:00,0,59.7227,9.287
2017/03/07,13:30:00,0,59.7126,9.196
2017/03/07,13:45:00,0,59.6988,9.349
2017/03/07,14:00:00,0,59.6842,9.264
2017/03/07,14:15:00,0,59.6810,9.501
2017/03/07,14:30:00,0,59.6790,9.460
2017/03/07,14:45:00,0,59.6616,9.424
2017/03/07,15:00:00,0,59.6537,9.509
2017/03/07,15:15:00,0,59.6433,9.713
2017/03/07,15:30:00,0,59.6347,9.854
2017/03/07,15:45:00,0,59.6266,9.433
2017/03/07,16:00:00,0,59.6209,9.165
2017/03/07,16:15:00,0,59.6306,9.089
2017/03/07,16:30:00,0,59.6320,9.028
2017/03/07,16:45:00,0,59.6176,9.040
2017/03/07,17:00:00,0,59.6213,9.212
2017/03/07,17:15:00,0,59.6357,9.135
2017/03/07,17:30:00,0,59.6392,9.084
2017/03/07,17:45:00,0,59.6419,8.974
2017/03/07,18:00:00,0,59.6803,8.675
2017/03/07,18:15:00,0,59.6992,8.251
2017/03/07,18:30:00,0,59.7147,8.120
2017/03/07,18:45:00,0,59.7266,8.206
2017/03/07,19:00:00,0,59.7386,8.201
2017/03/07,19:15:00,0,59.7487,8.113
2017/03/07,19:30:00,0,59.7734,8.014
2017/03/07,19:45:00,0,59.7904,7.967
2017/03/07,20:00:00,0,59.7901,7.768
2017/03/07,20:15:00,0,59.7977,7.806
2017/03/07,20:30:00,0,59.8102,7.797
2017/03/07,20:45:00,0,59.8279,7.814
2017/03/07,21:00:00,0,59.8294,7.249
2017/03/07,21:15:00,0,59.8389,7.464
2017/03/07,21:30:00,0,59.8485,7.839
2017/03/07,21:45:00,0,59.8549,7.530
2017/03/07,22:00:00,0,59.8598,6.826
2017/03/07,22:15:00,0,59.8589,5.769
2017/03/07,22:30:00,0,59.8507,5.446
2017/03/07,22:45:00,0,59.8637,5.481
2017/03/07,23:00:00,0,59.8652,5.363
2017/03/07,23:15:00,0,59.8554,5.124
2017/03/07,23:30:00,0,59.8502,4.986
2017/03/07,23:45:00,0,59.8428,5.170
2017/03/08,00:00:00,0,59.8344,5.452
2017/03/08,00:15:00,0,59.8337,5.646
2017/03/08,00:30:00,0,59.8417,5.900
2017/03/08,00:45:00,0,59.8311,6.048
2017/03/08,01:00:00,0,59.8205,5.960
2017/03/08,01:15:00,0,59.8132,5.871
2017/03/08,01:30:00,0,59.8053,5.909
2017/03/08,01:45:00,0,59.7943,5.957
2017/03/08,02:00:00,0,59.7787,5.903
2017/03/08,02:15:00,0,59.7713,5.821
2017/03/08,02:30:00,0,59.7658,5.745
2017/03/08,02:45:00,0,59.7587,5.753
2017/03/08,03:00:00,0,59.7483,5.701
2017/03/08,03:15:00,0,59.7400,5.697
2017/03/08,03:30:00,0,59.7353,5.544
2017/03/08,03:45:00,0,59.7351,5.518
2017/03/08,04:00:00,0,59.7396,5.497
2017/03/08,04:15:00,0,59.7428,5.439
2017/03/08,04:30:00,0,59.7427,5.386
2017/03/08,04:45:00,0,59.7502,5.331
2017/03/08,05:00:00,0,59.7587,5.297
2017/03/08,05:15:00,0,59.7654,5.239
2017/03/08,05:30:00,0,59.7703,5.222
2017/03/08,05:45:00,0,59.7760,5.169
2017/03/08,06:00:00,0,59.7851,5.133
2017/03/08,06:15:00,0,59.8020,5.102
2017/03/08,06:30:00,0,59.8142,4.975
2017/03/08,06:45:00,0,59.8290,4.981
2017/03/08,07:00:00,0,59.8459,4.902
2017/03/08,07:15:00,0,59.8594,4.737
2017/03/08,07:30:00,0,59.8721,4.448
2017/03/08,07:45:00,0,59.8851,4.424
2017/03/08,08:00:00,0,59.8937,4.460
2017/03/08,08:15:00,0,59.9035,4.358
2017/03/08,08:30:00,0,59.9101,4.392
2017/03/08,08:45:00,0,59.9160,4.425
2017/03/08,09:00:00,0,59.9196,4.499
2017/03/08,09:15:00,0,59.9215,4.569
2017/03/08,09:30:00,0,59.9236,4.453
2017/03/08,09:45:00,0,59.9227,4.445
2017/03/08,10:00:00,0,59.9217,4.545
2017/03/08,10:15:00,0,59.9271,4.729
2017/03/08,10:30:00,0,59.9218,4.862
2017/03/08,10:45:00,0,59.9228,5.017
2017/03/08,11:00:00,0,59.9157,5.073
2017/03/08,11:15:00,0,59.9168,5.145
2017/03/08,11:30:00,0,59.9043,5.244
2017/03/08,11:45:00,0,59.8964,5.332
2017/03/08,12:00:00,0,59.8866,5.378
2017/03/08,12:15:00,0,59.8706,5.447
2017/03/08,12:30:00,0,59.8571,5.515
2017/03/08,12:45:00,0,59.8419,5.611
2017/03/08,13:00:00,0,59.8283,5.689
2017/03/08,13:15:00,0,59.8162,5.767
2017/03/08,13:30:00,0,59.8021,5.855
2017/03/08,13:45:00,0,59.7889,5.925
2017/03/08,14:00:00,0,59.7782,5.999
2017/03/08,14:15:00,0,59.7654,6.070
2017/03/08,14:30:00,0,59.7517,6.150
2017/03/08,14:45:00,0,59.7396,6.265
2017/03/08,15:00:00,0,59.7223,6.347
2017/03/08,15:15:00,0,59.7140,6.456
2017/03/08,15:30:00,0,59.7032,6.553
2017/03/08,15:45:00,0,59.6939,6.658
2017/03/08,16:00:00,0,59.6840,6.744
2017/03/08,16:15:00,0,59.6762,6.829
2017/03/08,16:30:00,0,59.6717,6.823
2017/03/08,16:45:00,0,59.6679,6.825
2017/03/08,17:00:00,0,59.6664,6.786
2017/03/08,17:15:00,0,59.6626,6.794
2017/03/08,17:30:00,0,59.6684,6.791
2017/03/08,17:45:00,0,59.6791,6.794
2017/03/08,18:00:00,0,59.6843,6.803
2017/03/08,18:15:00,0,59.7009,6.823
2017/03/08,18:30:00,0,59.7140,6.223
2017/03/08,18:45:00,0,59.7285,5.950
2017/03/08,19:00:00,0,59.7462,5.935
2017/03/08,19:15:00,0,59.7549,5.682
2017/03/08,19:30:00,0,59.7623,6.058
2017/03/08,19:45:00,0,59.7708,6.322
2017/03/08,20:00:00,0,59.7768,6.448
2017/03/08,20:15:00,0,59.7873,6.503
2017/03/08,20:30:00,0,59.7972,6.468
2017/03/08,20:45:00,0,59.8037,6.337
2017/03/08,21:00:00,0,59.8152,6.341
