Date,Time,ms,LEVEL,TEMPERATURE,,,Date,Time,
8/15/2016,13:25:06,0,59.82,13.871,0,59.78,8/15/2016,14:00,59.78
8/15/2016,14:25:06,0,59.7358,9.887,0,59.71,8/15/2016,15:00,59.71
8/15/2016,15:25:06,0,59.6967,8.342,0,59.69,8/15/2016,16:00,59.69
8/15/2016,16:25:06,0,59.6994,8.736,0,59.70,8/15/2016,17:00,59.70
8/15/2016,17:25:06,0,59.7164,7.243,0,59.73,8/15/2016,18:00,59.73
8/15/2016,18:25:06,0,59.7706,6.305,0,59.79,8/15/2016,19:00,59.79
8/15/2016,19:25:06,0,59.8227,6.286,0,59.84,8/15/2016,20:00,59.84
8/15/2016,20:25:06,0,59.8673,5.976,0,59.89,8/15/2016,21:00,59.89
8/15/2016,21:25:06,0,59.9189,5.547,0,59.92,8/15/2016,22:00,59.92
8/15/2016,22:25:06,0,59.9251,5.075,0,59.93,8/15/2016,23:00,59.93
8/15/2016,23:25:06,0,59.9337,4.59,0,59.92,8/15/2016,0:00,59.92
8/16/2016,0:25:06,0,59.9022,4.125,0,59.89,8/16/2016,1:00,59.89
8/16/2016,1:25:06,0,59.8733,3.831,0,59.86,8/16/2016,2:00,59.86
8/16/2016,2:25:06,0,59.8437,3.512,0,59.84,8/16/2016,3:00,59.84
8/16/2016,3:25:06,0,59.8208,3.226,0,59.83,8/16/2016,4:00,59.83
8/16/2016,4:25:06,0,59.8398,3.033,0,59.85,8/16/2016,5:00,59.85
8/16/2016,5:25:06,0,59.8531,3.28,0,59.87,8/16/2016,6:00,59.87
8/16/2016,6:25:06,0,59.8969,3.296,0,59.92,8/16/2016,7:00,59.92
8/16/2016,7:25:06,0,59.9655,3.315,0,59.97,8/16/2016,8:00,59.97
8/16/2016,8:25:06,0,59.9969,4.155,0,60.01,8/16/2016,9:00,60.01
8/16/2016,9:25:06,0,60.0122,4.439,0,60.02,8/16/2016,10:00,60.02
8/16/2016,10:25:06,0,60.0136,5.519,0,60.00,8/16/2016,11:00,60.00
8/16/2016,11:25:06,0,59.9826,5.769,0,59.96,8/16/2016,12:00,59.96
