NSEG,ICALC,OUTSEG,IUPSEG,IPRIOR,NSTRPTS,FLOW,RUNOFF,ETSW,PPTSW,ROUGHCH,ROUGHBK,CDPTH,FDPTH,AWDTH,BWDTH
1,1,29,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
2,1,19,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
3,1,15,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
4,1,10,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
5,1,45,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
6,1,23,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
7,1,14,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
8,1,5,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
9,1,10,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
10,1,23,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
11,1,15,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
12,1,17,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
13,1,14,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
14,1,8,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
15,1,17,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
16,1,33,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
17,1,27,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
18,1,32,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
19,1,24,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
20,1,43,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
21,1,18,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
22,1,20,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
23,1,27,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
24,1,5,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
25,1,31,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
26,1,34,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
27,1,8,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
28,1,43,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
29,1,45,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
30,1,28,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
31,1,34,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
32,1,0,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
33,1,40,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
34,1,33,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
35,1,31,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
36,1,29,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
37,1,28,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
38,1,32,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
39,1,24,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
40,1,18,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
41,1,40,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
42,1,20,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
43,1,16,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
44,1,19,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
45,1,16,0,-999,-999,0,0,0,0,0.035,0.06,0.0113267386437,0.42,0.113267386437,0.23
