HCOND1,THICKM1,ELEVUP,WIDTH1,DEPTH1,THTS1,THTI1,EPS1,UHC1
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
