HCOND2,THICKM2,ELEVDN,WIDTH2,DEPTH2,THTS2,THTI2,EPS2,UHC2
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
-999,-999,-999,3,-999,-999,-999,-999,-999
