 "GAGE No.    3:  K,I,J Coord. =     1,   46,   41;  STREAM SEGMENT =     8;  REACH =    23 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   4.1050352E+03   6.7552876E+03
     2.0000000E+00   4.1050527E+03   1.3154338E+04
     3.0000000E+00   4.1050649E+03   1.8711598E+04
     4.0000000E+00   4.1050542E+03   1.3808770E+04
     5.0000000E+00   4.1050640E+03   1.8170465E+04
     6.0000000E+00   4.1050645E+03   1.8254199E+04
     7.0000000E+00   4.1050757E+03   2.3936031E+04
     8.0000000E+00   4.1051250E+03   5.4765238E+04
     9.0000000E+00   4.1051382E+03   6.4887617E+04
     1.0000000E+01   4.1051162E+03   4.8684988E+04
     1.1000000E+01   4.1051138E+03   4.7125660E+04
     1.2000000E+01   4.1051094E+03   4.4020465E+04
     1.3000000E+01   4.1051177E+03   4.9589395E+04
     1.4000000E+01   4.1054150E+03   4.0497206E+05
     1.5000000E+01   4.1052495E+03   1.7344019E+05
     1.6000000E+01   4.1052646E+03   1.9138362E+05
     1.7000000E+01   4.1055703E+03   6.8933556E+05
     1.8000000E+01   4.1056118E+03   7.7424875E+05
     1.9000000E+01   4.1054194E+03   4.1333200E+05
     2.0000000E+01   4.1053467E+03   3.0104578E+05
     2.1000000E+01   4.1053320E+03   2.8011950E+05
     2.2000000E+01   4.1056655E+03   8.9141938E+05
     2.3000000E+01   4.1054658E+03   4.9221738E+05
     2.4000000E+01   4.1053350E+03   2.8378022E+05
     2.5000000E+01   4.1053389E+03   2.8973881E+05
     2.6000000E+01   4.1052754E+03   2.0507920E+05
     2.7000000E+01   4.1052510E+03   1.7542409E+05
     2.8000000E+01   4.1053379E+03   2.8825134E+05
     2.9000000E+01   4.1052817E+03   2.1295867E+05
     3.0000000E+01   4.1052603E+03   1.8636220E+05
     3.1000000E+01   4.1052266E+03   1.4794977E+05
     3.2000000E+01   4.1052246E+03   1.4616830E+05
     3.3000000E+01   4.1053135E+03   2.5423216E+05
     3.4000000E+01   4.1052407E+03   1.6389166E+05
     3.5000000E+01   4.1054150E+03   4.0637022E+05
     3.6000000E+01   4.1053633E+03   3.2521806E+05
     3.7000000E+01   4.1052812E+03   2.1241708E+05
     3.8000000E+01   4.1052466E+03   1.7083162E+05
     3.9000000E+01   4.1052231E+03   1.4462384E+05
     4.0000000E+01   4.1052061E+03   1.2654375E+05
     4.1000000E+01   4.1051948E+03   1.1533635E+05
     4.2000000E+01   4.1051865E+03   1.0719527E+05
     4.3000000E+01   4.1051772E+03   9.8373219E+04
     4.4000000E+01   4.1051709E+03   9.2723562E+04
     4.5000000E+01   4.1051670E+03   8.9312828E+04
     4.6000000E+01   4.1051890E+03   1.0926388E+05
     4.7000000E+01   4.1052593E+03   1.8516150E+05
     4.8000000E+01   4.1052319E+03   1.5399089E+05
     4.9000000E+01   4.1052368E+03   1.5920727E+05
     5.0000000E+01   4.1052305E+03   1.5216742E+05
     5.1000000E+01   4.1052051E+03   1.2526705E+05
     5.2000000E+01   4.1051943E+03   1.1466914E+05
     5.3000000E+01   4.1052300E+03   1.5160842E+05
     5.4000000E+01   4.1052090E+03   1.2909364E+05
     5.5000000E+01   4.1052778E+03   2.0784941E+05
     5.6000000E+01   4.1052212E+03   1.4238053E+05
     5.7000000E+01   4.1051978E+03   1.1787123E+05
     5.8000000E+01   4.1051890E+03   1.0928358E+05
     5.9000000E+01   4.1052148E+03   1.3544186E+05
     6.0000000E+01   4.1052236E+03   1.4484997E+05
     6.1000000E+01   4.1051899E+03   1.1047496E+05
     6.2000000E+01   4.1051855E+03   1.0605170E+05
     6.3000000E+01   4.1051699E+03   9.1512922E+04
     6.4000000E+01   4.1051904E+03   1.1091559E+05
     6.5000000E+01   4.1052852E+03   2.1722384E+05
     6.6000000E+01   4.1052798E+03   2.1002164E+05
     6.7000000E+01   4.1052266E+03   1.4772766E+05
