 "GAGE No.    5:  K,I,J Coord. =     1,   48,   39;  STREAM SEGMENT =     5;  REACH =     5 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   4.0870349E+03   8.6838809E+03
     2.0000000E+00   4.0870566E+03   1.9310496E+04
     3.0000000E+00   4.0870625E+03   2.2723781E+04
     4.0000000E+00   4.0870520E+03   1.6784492E+04
     5.0000000E+00   4.0870618E+03   2.2286209E+04
     6.0000000E+00   4.0870613E+03   2.1926758E+04
     7.0000000E+00   4.0870720E+03   2.8700812E+04
     8.0000000E+00   4.0871226E+03   6.9375391E+04
     9.0000000E+00   4.0871379E+03   8.4597672E+04
     1.0000000E+01   4.0871135E+03   6.1178344E+04
     1.1000000E+01   4.0871099E+03   5.7944281E+04
     1.2000000E+01   4.0871047E+03   5.3564883E+04
     1.3000000E+01   4.0871106E+03   5.8587496E+04
     1.4000000E+01   4.0874189E+03   5.3856425E+05
     1.5000000E+01   4.0872539E+03   2.3396306E+05
     1.6000000E+01   4.0872727E+03   2.6366812E+05
     1.7000000E+01   4.0875852E+03   9.4081100E+05
     1.8000000E+01   4.0876309E+03   1.0667374E+06
     1.9000000E+01   4.0874441E+03   5.9424381E+05
     2.0000000E+01   4.0873623E+03   4.2365781E+05
     2.1000000E+01   4.0873474E+03   3.9478025E+05
     2.2000000E+01   4.0876992E+03   1.2666765E+06
     2.3000000E+01   4.0874863E+03   6.9157456E+05
     2.4000000E+01   4.0873472E+03   3.9476247E+05
     2.5000000E+01   4.0873506E+03   4.0101888E+05
     2.6000000E+01   4.0872810E+03   2.7744341E+05
     2.7000000E+01   4.0872524E+03   2.3217706E+05
     2.8000000E+01   4.0873472E+03   3.9449828E+05
     2.9000000E+01   4.0872866E+03   2.8662072E+05
     3.0000000E+01   4.0872644E+03   2.5060717E+05
     3.1000000E+01   4.0872271E+03   1.9445352E+05
     3.2000000E+01   4.0872229E+03   1.8859278E+05
     3.3000000E+01   4.0873186E+03   3.4184269E+05
     3.4000000E+01   4.0872415E+03   2.1560470E+05
     3.5000000E+01   4.0874348E+03   5.7387662E+05
     3.6000000E+01   4.0873770E+03   4.5255444E+05
     3.7000000E+01   4.0872883E+03   2.8952644E+05
     3.8000000E+01   4.0872502E+03   2.2887377E+05
     3.9000000E+01   4.0872241E+03   1.9023242E+05
     4.0000000E+01   4.0872046E+03   1.6353347E+05
     4.1000000E+01   4.0871917E+03   1.4660969E+05
     4.2000000E+01   4.0871814E+03   1.3388933E+05
     4.3000000E+01   4.0871716E+03   1.2200598E+05
     4.4000000E+01   4.0871646E+03   1.1387365E+05
     4.5000000E+01   4.0871599E+03   1.0863627E+05
     4.6000000E+01   4.0871807E+03   1.3286048E+05
     4.7000000E+01   4.0872544E+03   2.3461917E+05
     4.8000000E+01   4.0872249E+03   1.9101920E+05
     4.9000000E+01   4.0872324E+03   2.0194061E+05
     5.0000000E+01   4.0872263E+03   1.9317250E+05
     5.1000000E+01   4.0871985E+03   1.5526592E+05
     5.2000000E+01   4.0871865E+03   1.4011356E+05
     5.3000000E+01   4.0872205E+03   1.8505955E+05
     5.4000000E+01   4.0871997E+03   1.5678047E+05
     5.5000000E+01   4.0872759E+03   2.6861641E+05
     5.6000000E+01   4.0872163E+03   1.7929050E+05
     5.7000000E+01   4.0871924E+03   1.4743956E+05
     5.8000000E+01   4.0871819E+03   1.3438222E+05
     5.9000000E+01   4.0872080E+03   1.6783645E+05
     6.0000000E+01   4.0872173E+03   1.8053889E+05
     6.1000000E+01   4.0871836E+03   1.3654019E+05
     6.2000000E+01   4.0871821E+03   1.3507012E+05
     6.3000000E+01   4.0871638E+03   1.1294399E+05
     6.4000000E+01   4.0871853E+03   1.3860552E+05
     6.5000000E+01   4.0872834E+03   2.8117425E+05
     6.6000000E+01   4.0872761E+03   2.6910138E+05
     6.7000000E+01   4.0872224E+03   1.8780523E+05
     6.8000000E+01   4.0872019E+03   1.5993466E+05
     6.9000000E+01   4.0871902E+03   1.4479233E+05
     7.0000000E+01   4.0872393E+03   2.1189927E+05
     7.1000000E+01   4.0876206E+03   1.0380613E+06
     7.2000000E+01   4.0873130E+03   3.3175003E+05
     7.3000000E+01   4.0872722E+03   2.6320834E+05
     7.4000000E+01   4.0872983E+03   3.0638575E+05
     7.5000000E+01   4.0872446E+03   2.2029611E+05
