 "GAGE No.    8:  K,I,J Coord. =     1,   61,    6;  STREAM SEGMENT =    32;  REACH =     5 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   3.5290813E+03   1.9964955E+04
     2.0000000E+00   3.5291531E+03   5.7091523E+04
     3.0000000E+00   3.5291404E+03   4.9429301E+04
     4.0000000E+00   3.5291204E+03   3.8401676E+04
     5.0000000E+00   3.5291582E+03   6.0402715E+04
     6.0000000E+00   3.5291475E+03   5.3742156E+04
     7.0000000E+00   3.5291597E+03   6.1340520E+04
     8.0000000E+00   3.5292522E+03   1.3133858E+05
     9.0000000E+00   3.5292976E+03   1.7290617E+05
     1.0000000E+01   3.5292407E+03   1.2149662E+05
     1.1000000E+01   3.5292290E+03   1.1195136E+05
     1.2000000E+01   3.5292175E+03   1.0277743E+05
     1.3000000E+01   3.5292288E+03   1.1170753E+05
     1.4000000E+01   3.5299238E+03   1.1420190E+06
     1.5000000E+01   3.5295688E+03   5.0920369E+05
     1.6000000E+01   3.5296279E+03   6.0039988E+05
     1.7000000E+01   3.5303599E+03   2.1766412E+06
     1.8000000E+01   3.5304890E+03   2.5324522E+06
     1.9000000E+01   3.5300830E+03   1.4895940E+06
     2.0000000E+01   3.5298735E+03   1.0414581E+06
     2.1000000E+01   3.5298372E+03   9.7020106E+05
     2.2000000E+01   3.5306958E+03   3.1460525E+06
     2.3000000E+01   3.5301724E+03   1.7007284E+06
     2.4000000E+01   3.5298357E+03   9.6762131E+05
     2.5000000E+01   3.5298467E+03   9.8870194E+05
     2.6000000E+01   3.5296624E+03   6.5700300E+05
     2.7000000E+01   3.5295852E+03   5.3445381E+05
     2.8000000E+01   3.5298135E+03   9.2481175E+05
     2.9000000E+01   3.5296663E+03   6.6327900E+05
     3.0000000E+01   3.5296167E+03   5.8305900E+05
     3.1000000E+01   3.5295254E+03   4.4679634E+05
     3.2000000E+01   3.5294883E+03   3.9526625E+05
     3.3000000E+01   3.5297319E+03   7.7541875E+05
     3.4000000E+01   3.5295525E+03   4.8563456E+05
     3.5000000E+01   3.5300425E+03   1.3982531E+06
     3.6000000E+01   3.5298979E+03   1.0903566E+06
     3.7000000E+01   3.5296799E+03   6.8617338E+05
     3.8000000E+01   3.5295850E+03   5.3395375E+05
     3.9000000E+01   3.5295168E+03   4.3454719E+05
     4.0000000E+01   3.5294663E+03   3.6606653E+05
     4.1000000E+01   3.5294363E+03   3.2772069E+05
     4.2000000E+01   3.5294219E+03   3.1005547E+05
     4.3000000E+01   3.5293835E+03   2.6466391E+05
     4.4000000E+01   3.5293652E+03   2.4397206E+05
     4.5000000E+01   3.5293518E+03   2.2907289E+05
     4.6000000E+01   3.5293850E+03   2.6625184E+05
     4.7000000E+01   3.5295415E+03   4.6937944E+05
     4.8000000E+01   3.5294885E+03   3.9536762E+05
     4.9000000E+01   3.5295000E+03   4.1102462E+05
     5.0000000E+01   3.5295039E+03   4.1649503E+05
     5.1000000E+01   3.5294255E+03   3.1426009E+05
     5.2000000E+01   3.5293955E+03   2.7816159E+05
     5.3000000E+01   3.5294548E+03   3.5108969E+05
     5.4000000E+01   3.5294131E+03   2.9898281E+05
     5.5000000E+01   3.5295955E+03   5.4968219E+05
     5.6000000E+01   3.5294624E+03   3.6081241E+05
     5.7000000E+01   3.5294121E+03   2.9793025E+05
     5.8000000E+01   3.5293845E+03   2.6537178E+05
     5.9000000E+01   3.5294348E+03   3.2582900E+05
     6.0000000E+01   3.5294558E+03   3.5219369E+05
     6.1000000E+01   3.5293879E+03   2.6932056E+05
     6.2000000E+01   3.5293896E+03   2.7138500E+05
     6.3000000E+01   3.5293484E+03   2.2531116E+05
     6.4000000E+01   3.5293923E+03   2.7456456E+05
     6.5000000E+01   3.5296135E+03   5.7753112E+05
     6.6000000E+01   3.5295918E+03   5.4413131E+05
     6.7000000E+01   3.5294771E+03   3.8016075E+05
     6.8000000E+01   3.5294272E+03   3.1626784E+05
     6.9000000E+01   3.5294014E+03   2.8522944E+05
     7.0000000E+01   3.5295098E+03   4.2429634E+05
     7.1000000E+01   3.5303982E+03   2.2801900E+06
     7.2000000E+01   3.5297271E+03   7.6692981E+05
     7.3000000E+01   3.5296201E+03   5.8820088E+05
     7.4000000E+01   3.5296782E+03   6.8299556E+05
     7.5000000E+01   3.5295652E+03   5.0628850E+05
     7.6000000E+01   3.5301897E+03   1.7427439E+06
     7.7000000E+01   3.5297146E+03   7.4546944E+05
     7.8000000E+01   3.5296853E+03   6.9490712E+05
     7.9000000E+01   3.5298740E+03   1.0422127E+06
     8.0000000E+01   3.5296670E+03   6.6435269E+05
     8.1000000E+01   3.5295732E+03   5.1634881E+05
     8.2000000E+01   3.5296602E+03   6.5302625E+05
     8.3000000E+01   3.5299072E+03   1.1091578E+06
     8.4000000E+01   3.5296311E+03   6.0587044E+05
     8.5000000E+01   3.5296008E+03   5.5837069E+05
     8.6000000E+01   3.5297156E+03   7.4709444E+05
     8.7000000E+01   3.5295647E+03   5.0363956E+05
     8.8000000E+01   3.5296316E+03   6.0679619E+05
     8.9000000E+01   3.5296648E+03   6.6061431E+05
     9.0000000E+01   3.5295337E+03   4.5839969E+05
     9.1000000E+01   3.5295005E+03   4.1179769E+05
     9.2000000E+01   3.5294438E+03   3.3741744E+05
     9.3000000E+01   3.5294143E+03   3.0067612E+05
     9.4000000E+01   3.5293896E+03   2.7171516E+05
     9.5000000E+01   3.5293718E+03   2.5122858E+05
     9.6000000E+01   3.5293750E+03   2.5482166E+05
     9.7000000E+01   3.5293677E+03   2.4656133E+05
     9.8000000E+01   3.5293982E+03   2.8139962E+05
     9.9000000E+01   3.5295112E+03   4.2659806E+05
     1.0000000E+02   3.5294016E+03   2.8553134E+05
     1.0100000E+02   3.5294004E+03   2.8387288E+05
     1.0200000E+02   3.5293652E+03   2.4379242E+05
     1.0300000E+02   3.5293345E+03   2.1044403E+05
     1.0400000E+02   3.5293215E+03   1.9728473E+05
     1.0500000E+02   3.5293545E+03   2.3176716E+05
     1.0600000E+02   3.5293032E+03   1.7873452E+05
     1.0700000E+02   3.5292913E+03   1.6737705E+05
     1.0800000E+02   3.5292832E+03   1.5973845E+05
     1.0900000E+02   3.5293220E+03   1.9748717E+05
     1.1000000E+02   3.5292854E+03   1.6160081E+05
     1.1100000E+02   3.5294031E+03   2.8711225E+05
     1.1200000E+02   3.5294531E+03   3.4885147E+05
     1.1300000E+02   3.5293677E+03   2.4640391E+05
     1.1400000E+02   3.5293408E+03   2.1721919E+05
     1.1500000E+02   3.5293213E+03   1.9695752E+05
     1.1600000E+02   3.5293071E+03   1.8263273E+05
     1.1700000E+02   3.5293135E+03   1.8896834E+05
     1.1800000E+02   3.5293181E+03   1.9357817E+05
     1.1900000E+02   3.5293625E+03   2.4058153E+05
     1.2000000E+02   3.5292964E+03   1.7200547E+05
     1.2100000E+02   3.5292898E+03   1.6571406E+05
     1.2200000E+02   3.5292844E+03   1.6063970E+05
     1.2300000E+02   3.5292781E+03   1.5477430E+05
     1.2400000E+02   3.5292698E+03   1.4709475E+05
     1.2500000E+02   3.5292878E+03   1.6391614E+05
     1.2600000E+02   3.5292649E+03   1.4265053E+05
     1.2700000E+02   3.5292646E+03   1.4263970E+05
     1.2800000E+02   3.5292734E+03   1.5048233E+05
     1.2900000E+02   3.5292676E+03   1.4528191E+05
     1.3000000E+02   3.5292661E+03   1.4379514E+05
