KRCH,IRCH,JRCH,ISEG,IREACH,RCHLEN,STRTOP,SLOPE,STRTHICK,STRHC1,THTS,THTI,EPS,UHC
1,35,36,14,30,59,,0.033704692,1,3,0.35,0.3,3.5,0.3
1,46,41,8,23,304,,0.055743287,1,3,0.35,0.3,3.5,0.3
1,54,31,5,19,365,,0.057446642,1,3,0.35,0.3,3.5,0.3
1,57,37,36,33,169,,0.170797114,1,3,0.35,0.3,3.5,0.3
1,63,38,42,18,185,,0.102542279,1,3,0.35,0.3,3.5,0.3
1,63,38,22,21,100,,0.049623247,1,3,0.35,0.3,3.5,0.3
1,65,35,37,29,237,,0.189836175,1,3,0.35,0.3,3.5,0.3
1,55,25,26,23,90,,0.133230743,1,3,0.35,0.3,3.5,0.3
1,51,21,25,29,133,,0.135113972,1,3,0.35,0.3,3.5,0.3
1,77,28,41,1,292,,0.068364784,1,3,0.35,0.3,3.5,0.3
1,77,32,37,6,307,,0.009769082,1,3,0.35,0.3,3.5,0.3
1,76,28,41,2,283,,0.00352157,1,3,0.35,0.3,3.5,0.3
1,75,31,37,11,282,,0.028343773,1,3,0.35,0.3,3.5,0.3
1,75,41,42,1,225,,0.066544813,1,3,0.35,0.3,3.5,0.3
1,73,26,41,7,296,,0.080975644,1,3,0.35,0.3,3.5,0.3
1,73,32,37,16,281,,0.046231422,1,3,0.35,0.3,3.5,0.3
1,73,42,42,4,283,,0.0459191,1,3,0.35,0.3,3.5,0.3
1,72,26,41,8,295,,0.0001,1,3,0.35,0.3,3.5,0.3
1,72,32,37,17,283,,0.116211817,1,3,0.35,0.3,3.5,0.3
1,72,42,42,5,270,,0.04063758,1,3,0.35,0.3,3.5,0.3
1,71,26,41,9,307,,0.071639932,1,3,0.35,0.3,3.5,0.3
1,71,32,37,18,270,,0.103441112,1,3,0.35,0.3,3.5,0.3
1,71,42,42,6,258,,0.178112158,1,3,0.35,0.3,3.5,0.3
1,69,27,41,14,295,,0.189491498,1,3,0.35,0.3,3.5,0.3
1,70,32,37,19,307,,0.113972619,1,3,0.35,0.3,3.5,0.3
1,70,42,42,7,307,,0.1237417,1,3,0.35,0.3,3.5,0.3
