 "GAGE No.    4:  K,I,J Coord. =     1,   47,   42;  STREAM SEGMENT =    24;  REACH =     2 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   4.1300088E+03   1.6533218E+03
     2.0000000E+00   4.1300195E+03   6.0025884E+03
     3.0000000E+00   4.1300156E+03   4.0187505E+03
     4.0000000E+00   4.1300127E+03   2.8953604E+03
     5.0000000E+00   4.1300151E+03   4.0096460E+03
     6.0000000E+00   4.1300142E+03   3.6092854E+03
     7.0000000E+00   4.1300171E+03   4.7001611E+03
     8.0000000E+00   4.1300337E+03   1.4631128E+04
     9.0000000E+00   4.1300400E+03   1.9661906E+04
     1.0000000E+01   4.1300308E+03   1.2511164E+04
     1.1000000E+01   4.1300278E+03   1.0832640E+04
     1.2000000E+01   4.1300259E+03   9.4753076E+03
     1.3000000E+01   4.1300249E+03   8.9445811E+03
     1.4000000E+01   4.1301235E+03   1.2728946E+05
     1.5000000E+01   4.1300767E+03   5.7743059E+04
     1.6000000E+01   4.1300850E+03   6.8207422E+04
     1.7000000E+01   4.1301777E+03   2.3336102E+05
     1.8000000E+01   4.1301943E+03   2.7093497E+05
     1.9000000E+01   4.1301455E+03   1.6749752E+05
     2.0000000E+01   4.1301152E+03   1.1380341E+05
     2.1000000E+01   4.1301108E+03   1.0629695E+05
     2.2000000E+01   4.1302246E+03   3.4566512E+05
     2.3000000E+01   4.1301538E+03   1.8381969E+05
     2.4000000E+01   4.1301079E+03   1.0215692E+05
     2.5000000E+01   4.1301084E+03   1.0239801E+05
     2.6000000E+01   4.1300830E+03   6.6033656E+04
     2.7000000E+01   4.1300718E+03   5.1675055E+04
     2.8000000E+01   4.1301055E+03   9.7917867E+04
     2.9000000E+01   4.1300845E+03   6.7867039E+04
     3.0000000E+01   4.1300776E+03   5.9187105E+04
     3.1000000E+01   4.1300640E+03   4.2653340E+04
     3.2000000E+01   4.1300562E+03   3.4397125E+04
     3.3000000E+01   4.1300938E+03   8.0806891E+04
     3.4000000E+01   4.1300679E+03   4.7411914E+04
     3.5000000E+01   4.1301387E+03   1.5421000E+05
     3.6000000E+01   4.1301177E+03   1.1740238E+05
     3.7000000E+01   4.1300869E+03   7.0883898E+04
     3.8000000E+01   4.1300728E+03   5.3188562E+04
     3.9000000E+01   4.1300630E+03   4.1574992E+04
     4.0000000E+01   4.1300552E+03   3.3555066E+04
     4.1000000E+01   4.1300498E+03   2.8284490E+04
     4.2000000E+01   4.1300454E+03   2.4120533E+04
     4.3000000E+01   4.1300420E+03   2.1257639E+04
     4.4000000E+01   4.1300391E+03   1.8841879E+04
     4.5000000E+01   4.1300366E+03   1.7049494E+04
     4.6000000E+01   4.1300420E+03   2.1428289E+04
     4.7000000E+01   4.1300669E+03   4.5939750E+04
     4.8000000E+01   4.1300557E+03   3.4146723E+04
     4.9000000E+01   4.1300610E+03   3.9559250E+04
     5.0000000E+01   4.1300596E+03   3.7731086E+04
     5.1000000E+01   4.1300488E+03   2.7287471E+04
     5.2000000E+01   4.1300439E+03   2.3027051E+04
     5.3000000E+01   4.1300527E+03   3.0884936E+04
     5.4000000E+01   4.1300469E+03   2.5345324E+04
     5.5000000E+01   4.1300757E+03   5.6578121E+04
     5.6000000E+01   4.1300557E+03   3.3966930E+04
     5.7000000E+01   4.1300483E+03   2.6906891E+04
     5.8000000E+01   4.1300439E+03   2.2789078E+04
     5.9000000E+01   4.1300518E+03   2.9905055E+04
     6.0000000E+01   4.1300547E+03   3.2981012E+04
     6.1000000E+01   4.1300449E+03   2.3787824E+04
     6.2000000E+01   4.1300430E+03   2.1895438E+04
     6.3000000E+01   4.1300391E+03   1.8869734E+04
     6.4000000E+01   4.1300464E+03   2.4975174E+04
     6.5000000E+01   4.1300776E+03   5.8988719E+04
     6.6000000E+01   4.1300742E+03   5.4743418E+04
